n_trajectories,time_seconds
1,0.04339194297790527
11,0.4787580966949463
21,0.8955199718475342
31,1.273132085800171
41,1.7075350284576416
51,2.107576847076416
61,2.6283488273620605
71,3.101907968521118
81,3.466223955154419
91,3.724302053451538
101,4.190399885177612
