n_trajectories,time_seconds
1,0.20905089378356934
11,0.39199209213256836
21,0.42368388175964355
31,0.46399927139282227
41,0.5006749629974365
51,0.4983999729156494
61,0.546029806137085
71,0.6428883075714111
81,0.6572279930114746
91,0.7233951091766357
101,0.7803902626037598
